super_concept,primary_owner,hub,file,trigger_raw,normalized
aum_aua,domain-options,domain-payments,knowledge/skills/domain-payments/SKILL.md,v_options_aum,v_options_aum
aum_aua,domain-options,domain-payments,knowledge/skills/domain-payments/finance-recon-and-balances.md,v_options_aum,v_options_aum
aum_aua,domain-aum-and-aua,domain-payments,knowledge/skills/domain-payments/mimo-panel-and-ddr.md,AUM,aum
aum_aua,domain-moneyfarm,domain-revenue-and-fees,knowledge/skills/domain-revenue-and-fees/revenue-moneyfarm.md,moneyfarm aum,moneyfarm aum
aum_aua,domain-moneyfarm,domain-revenue-and-fees,knowledge/skills/domain-revenue-and-fees/revenue-moneyfarm.md,v_moneyfarm_aum,v_moneyfarm_aum
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/SKILL.md,AUM,aum
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/portfolio-value-aum-pnl.md,assets under management,assets under management
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/portfolio-value-aum-pnl.md,AUM,aum
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/portfolio-value-aum-pnl.md,EquityGlobal,equityglobal
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/portfolio-value-aum-pnl.md,IBANBalance,ibanbalance
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/portfolio-value-aum-pnl.md,OptionsTotalEquity,optionstotalequity
aum_aua,domain-aum-and-aua,domain-trading,knowledge/skills/domain-trading/portfolio-value-aum-pnl.md,TotalEquityTP,totalequitytp
broker_provider_identity,domain-payments,domain-cross,knowledge/skills/domain-cross/provider-reconciliation.md,MID,mid
broker_provider_identity,domain-payments,domain-cross,knowledge/skills/domain-cross/provider-reconciliation.md,MIDName,midname
broker_provider_identity,domain-payments,domain-cross,knowledge/skills/domain-cross/provider-reconciliation.md,MIDValue,midvalue
broker_provider_identity,domain-payments,domain-cross,knowledge/skills/domain-cross/tribe-emoney-audit.md,Treezor,treezor
broker_provider_identity,domain-payments,domain-exw-wallet,knowledge/skills/domain-exw-wallet/SKILL.md,Simplex,simplex
